,car_brand,car_model,car_year,car_mileage,car_price,source
0,TOYOTA,ALTIS,2009,197710,196000,HOT
1,MITSUBISHI,DELICA,2016,81609,358000,HOT
2,SUZUKI,CARRY,2013,53167,286000,HOT
3,NISSAN,MARCH,2013,92757,238000,HOT
4,NISSAN,SENTRA,2015,43307,378000,HOT
5,TOYOTA,ALTIS,2011,90478,278000,HOT
6,FORD,KUGA,2020,2568,938000,HOT
7,FORD,FOCUS 五門,2019,45387,758000,HOT
8,TOYOTA,ALTIS,2018,79267,520000,HOT
9,MITSUBISHI,ZINGER,2016,71683,368000,HOT
10,HONDA,CR-V,2016,59169,688000,HOT
11,NISSAN,LIVINA,2012,162579,238000,HOT
12,TOYOTA,ALTIS,2013,174806,338000,HOT
13,NISSAN,TIIDA 5門,2015,67769,375000,HOT
14,TOYOTA,CAMRY,2018,87653,550000,HOT
15,TOYOTA,WISH,2011,178769,358000,HOT
16,TOYOTA,VIOS,2014,101880,350000,HOT
17,MAZDA,MAZDA 5,2011,63221,328000,HOT
18,TOYOTA,VIOS,2018,56185,398000,HOT
19,TOYOTA,VIOS,2018,36474,398000,HOT
20,MITSUBISHI,FORTIS,2016,23665,388000,HOT
21,TOYOTA,ALTIS,2017,58903,490000,HOT
22,MITSUBISHI,VERYCA,2019,54382,428000,HOT
23,TOYOTA,CAMRY,2013,65145,438000,HOT
24,TOYOTA,ALTIS,2011,82745,320000,HOT
25,NISSAN,MARCH,2013,42130,258000,HOT
26,MAZDA,MAZDA 3,2018,33770,618000,HOT
27,TOYOTA,CAMRY,2016,122382,498000,HOT
28,FORD,FOCUS 五門,2019,31603,798000,HOT
29,TOYOTA,AURIS,2018,44338,698000,HOT
30,TOYOTA,WISH,2016,68013,558000,HOT
31,MITSUBISHI,COLT PLUS,2016,82411,368000,HOT
32,TOYOTA,ALTIS,2020,27650,628000,HOT
33,TOYOTA,ALTIS,2010,290175,238000,HOT
34,NISSAN,KICKS,2020,17768,658000,HOT
35,HONDA,HR-V,2019,15090,628000,HOT
36,TOYOTA,SIENTA,2018,106951,488000,HOT
37,FORD,FOCUS 五門,2015,67256,398000,HOT
38,FORD,FOCUS 五門,2020,6495,809000,HOT
39,HONDA,FIT,2016,37098,458000,HOT
40,SUZUKI,CARRY,2020,3081,428000,HOT
41,HYUNDAI,SANTA FE,2015,64091,558000,HOT
42,TOYOTA,SIENTA,2018,91603,528000,HOT
43,HONDA,CITY,2018,79667,518000,HOT
44,NISSAN,TEANA,2010,252218,188000,HOT
45,TOYOTA,YARIS,2019,15481,548000,HOT
46,MITSUBISHI,DELICA,2014,33441,389000,HOT
47,TOYOTA,AURIS,2019,22104,728000,HOT
48,NISSAN,LIVINA,2018,46004,458000,HOT
49,LUXGEN,S5 TURBO,2016,103771,380000,HOT
50,HONDA,CR-V,2010,196684,368000,HOT
51,TOYOTA,ALTIS,2018,42227,468000,HOT
52,SUZUKI,SX4,2016,38751,468000,HOT
53,HONDA,CR-V,2010,165674,398000,HOT
54,TOYOTA,RAV4,2012,137696,358000,HOT
55,FORD,FOCUS 五門,2018,27168,558000,HOT
56,NISSAN,SENTRA,2014,96698,338000,HOT
57,TOYOTA,INNOVA,2016,129446,355000,HOT
58,TOYOTA,ALTIS,2017,76211,488000,HOT
59,NISSAN,LIVINA,2012,182993,198000,HOT
60,FORD,FOCUS,2016,27785,458000,HOT
61,MAZDA,MAZDA 3,2012,161833,358000,HOT
62,TOYOTA,ALTIS,2019,26109,598000,HOT
63,TOYOTA,RAV4,2014,104688,598000,HOT
64,TOYOTA,SIENTA,2017,95000,490000,HOT
65,TOYOTA,CAMRY,2011,125500,395000,HOT
66,TOYOTA,ALTIS,2020,20958,698000,HOT
67,TOYOTA,YARIS,2018,26839,490000,HOT
68,TOYOTA,CAMRY,2015,63940,539000,HOT
69,MITSUBISHI,DELICA,2015,90821,378000,HOT
70,NISSAN,SENTRA,2014,64968,368000,HOT
71,TOYOTA,VIOS,2011,139667,198000,HOT
72,FORD,KUGA,2017,13417,798000,HOT
73,NISSAN,LIVINA,2013,122205,298000,HOT
74,TOYOTA,YARIS,2012,164024,328000,HOT
75,FORD,KUGA,2015,214778,418000,HOT
76,MITSUBISHI,OUTLANDER,2018,53087,758000,HOT
77,NISSAN,MARCH,2016,71047,328000,HOT
78,NISSAN,TIIDA 5門,2014,24762,388000,HOT
79,FORD,KUGA,2013,74781,418000,HOT
80,FORD,FOCUS 五門,2013,246119,308000,HOT
81,MAZDA,MAZDA3 5門,2016,66401,609000,HOT
82,TOYOTA,VIOS,2011,156440,208000,HOT
83,TOYOTA,CAMRY,2011,163961,299000,HOT
84,FORD,FOCUS,2014,161753,338000,HOT
85,TOYOTA,VIOS,2015,195297,388000,HOT
86,HYUNDAI,TUCSON,2017,31216,668000,HOT
87,MITSUBISHI,VERYCA,2015,80711,308000,HOT
88,HYUNDAI,IX35,2012,283779,318000,HOT
89,HONDA,FIT,2015,107813,430000,HOT
90,TOYOTA,ALTIS,2015,77978,450000,HOT
91,NISSAN,TIIDA,2014,95662,398000,HOT
92,FORD,FOCUS 五門,2011,154514,238000,HOT
93,TOYOTA,YARIS,2018,13110,488000,HOT
94,HONDA,CR-V,2013,76209,508000,HOT
95,TOYOTA,PREVIA,2015,120410,868000,HOT
96,TOYOTA,ALTIS,2011,128582,330000,HOT
97,HONDA,FIT,2015,60372,438000,HOT
98,MITSUBISHI,OUTLANDER,2014,196399,328000,HOT
99,TOYOTA,ALTIS,2017,98502,488000,HOT
100,TOYOTA,CAMRY,2009,172838,248000,HOT
101,FORD,KUGA,2015,133885,425000,HOT
102,NISSAN,X-TRAIL,2020,12195,798000,HOT
103,HONDA,FIT,2016,55664,448000,HOT
104,TOYOTA,RAV4,2012,116497,438000,HOT
105,MITSUBISHI,DELICA,2011,61757,218000,HOT
106,TOYOTA,YARIS,2018,65598,468000,HOT
107,MITSUBISHI,DELICA,2016,109478,328000,HOT
108,TOYOTA,YARIS,2012,97716,328000,HOT
109,HONDA,CR-V,2012,89999,388000,HOT
110,TOYOTA,CAMRY,2016,83332,528000,HOT
111,TOYOTA,YARIS,2017,99594,428000,HOT
112,MAZDA,CX-3,2016,38120,608000,HOT
113,HONDA,CIVIC,2012,71797,458000,HOT
114,TOYOTA,CAMRY,2016,67340,598000,HOT
115,NISSAN,TIIDA 5門,2019,7366,588000,HOT
116,NISSAN,TIIDA 5門,2016,77669,398000,HOT
117,NISSAN,SENTRA,2017,55561,428000,HOT
118,TOYOTA,SIENTA,2018,76555,450000,HOT
119,FORD,FIESTA,2013,49054,298000,HOT
120,MITSUBISHI,LANCER IO,2016,89125,365000,HOT
121,NISSAN,LIVINA,2013,104137,258000,HOT
122,LUXGEN,U6 TURBO,2017,60339,558000,HOT
123,HYUNDAI,SANTA FE,2015,132351,648000,HOT
124,HONDA,ACCORD,2010,115653,368000,HOT
125,HONDA,CR-V,2013,107326,568000,HOT
126,TOYOTA,C-HR,2016,85591,698000,HOT
127,FORD,FOCUS 五門,2017,172162,468000,HOT
128,MITSUBISHI,VERYCA,2015,199101,288000,HOT
129,HYUNDAI,ELANTRA,2018,57703,428000,HOT
130,FORD,FIESTA,2015,143464,318000,HOT
131,HONDA,ODYSSEY,2017,70420,1168000,HOT
132,TOYOTA,CAMRY,2016,37022,568000,HOT
133,TOYOTA,CAMRY,2017,51403,598000,HOT
134,TOYOTA,RAV4,2018,56871,798000,HOT
135,SUBARU,FORESTER,2016,65579,698000,HOT
136,TOYOTA,RAV4,2013,14279,538000,HOT
137,HONDA,CR-V,2019,39184,878000,HOT
138,TOYOTA,SIENTA,2020,31,688000,HOT
139,MITSUBISHI,FORTIS,2014,67930,298000,HOT
140,TOYOTA,YARIS,2011,69327,298000,HOT
141,NISSAN,SERENA Q-RV,2012,140440,358000,HOT
142,NISSAN,TIIDA 5門,2015,61361,428000,HOT
143,MITSUBISHI,VERYCA,2016,136235,338000,HOT
144,TOYOTA,RAV4,2016,57968,698000,HOT
145,TOYOTA,INNOVA,2016,31801,398000,HOT
146,SUZUKI,SWIFT,2019,26470,548000,HOT
147,TOYOTA,ALTIS,2017,28619,488000,HOT
148,HONDA,HR-V,2020,11032,749000,HOT
149,TOYOTA,WISH,2014,255991,398000,HOT
150,HONDA,CR-V,2017,141770,828000,HOT
151,TOYOTA,ALTIS,2017,84397,465000,HOT
152,TOYOTA,SIENTA,2017,14870,538000,HOT
153,TOYOTA,RAV4,2013,161554,466000,HOT
154,TOYOTA,WISH,2012,117028,428000,HOT
155,TOYOTA,ALTIS,2018,86035,548000,HOT
156,TOYOTA,ALTIS,2012,206469,298000,HOT
157,TOYOTA,SIENTA,2017,49996,468000,HOT
158,TOYOTA,SIENNA,2015,114657,1138000,HOT
159,TOYOTA,ALTIS,2017,51331,465000,HOT
160,TOYOTA,SIENTA,2018,71391,528000,HOT
161,MAZDA,MAZDA 3,2012,98395,298000,HOT
162,TOYOTA,ALTIS,2010,183271,260000,HOT
163,NISSAN,KICKS,2021,10,699000,HOT
164,NISSAN,SENTRA,2014,106778,306000,HOT
165,TOYOTA,ALTIS,2015,119421,480000,HOT
166,HONDA,CR-V,2016,222097,499000,HOT
167,HONDA,HR-V,2019,37376,698000,HOT
168,TOYOTA,ALTIS,2014,74993,450000,HOT
169,NISSAN,TIIDA 5門,2020,19956,578000,HOT
170,HONDA,CR-V,2018,89734,798000,HOT
171,MAZDA,CX-5,2018,43924,960000,HOT
172,TOYOTA,CAMRY,2016,88336,568000,HOT
173,HONDA,CIVIC,2012,152703,368000,HOT
174,FORD,KUGA,2018,77451,698000,HOT
175,NISSAN,LIVINA,2011,164178,218000,HOT
176,NISSAN,KICKS,2018,32277,668000,HOT
177,LUXGEN,U6 TURBO,2020,14578,648000,HOT
178,MAZDA,CX-9,2018,60900,1268000,HOT
179,MITSUBISHI,VERYCA,2018,79854,338000,HOT
180,TOYOTA,ALTIS,2015,82787,438000,HOT
181,NISSAN,LIVINA,2013,137029,248000,HOT
182,FORD,FOCUS,2013,135415,358000,HOT
183,TOYOTA,SIENTA,2018,26778,558000,HOT
184,TOYOTA,ALTIS,2017,109880,488000,HOT
185,MITSUBISHI,DELICA,2013,119397,278000,HOT
186,TOYOTA,WISH,2015,95337,500000,HOT
187,TOYOTA,YARIS,2017,101467,420000,HOT
188,TOYOTA,VIOS,2017,119004,360000,HOT
189,MAZDA,MAZDA 2,2020,1606,668000,HOT
190,HONDA,FIT,2016,98097,438000,HOT
191,HONDA,HR-V,2017,135909,608000,HOT
192,NISSAN,X-TRAIL,2019,34510,758000,HOT
193,TOYOTA,CAMRY,2012,128188,399000,HOT
194,HYUNDAI,ELANTRA,2014,64660,458000,HOT
195,HONDA,HR-V,2019,57414,738000,HOT
196,HONDA,ODYSSEY,2016,74135,999000,HOT
197,TOYOTA,CAMRY,2011,77022,438000,HOT
198,MITSUBISHI,DELICA,2014,45619,378000,HOT
199,TOYOTA,CAMRY,2016,48509,638000,HOT
200,TOYOTA,YARIS,2017,112187,398000,HOT
201,MAZDA,MAZDA3 5門,2020,1198,869000,HOT
202,HONDA,CITY,2017,78369,508000,HOT
203,TOYOTA,YARIS,2016,97564,386000,HOT
204,FORD,KUGA,2020,6401,975000,HOT
205,FORD,FOCUS ST,2020,26254,838000,HOT
206,HYUNDAI,KONA,2018,21346,718000,HOT
207,MITSUBISHI,FORTIS,2012,220741,298000,HOT
208,HONDA,HR-V,2017,90862,618000,HOT
209,NISSAN,X-TRAIL,2020,10702,848000,HOT
210,TOYOTA,ALTIS,2018,77342,536000,HOT
211,TOYOTA,RAV4,2015,101614,590000,HOT
212,TOYOTA,WISH,2013,231153,428000,HOT
213,TOYOTA,YARIS,2018,59779,485000,HOT
214,NISSAN,TIIDA,2017,75188,538000,HOT
215,NISSAN,LIVINA,2018,55844,458000,HOT
216,TOYOTA,YARIS,2015,88615,420000,HOT
217,TOYOTA,VIOS,2017,108416,345000,HOT
218,TOYOTA,WISH,2015,112561,478000,HOT
219,NISSAN,TIIDA,2015,98997,438000,HOT
220,TOYOTA,YARIS,2010,66903,268000,HOT
221,HONDA,FIT,2015,50596,408000,HOT
222,TOYOTA,RAV4,2015,167460,568000,HOT
223,HONDA,FIT,2015,131878,448000,HOT
224,LUXGEN,U6 TURBO,2014,78995,335000,HOT
225,HONDA,FIT,2018,43990,549000,HOT
226,MAZDA,CX-3,2016,81223,638000,HOT
227,TOYOTA,ALTIS,2017,84688,535000,HOT
228,FORD,FOCUS 五門,2018,42110,598000,HOT
229,NISSAN,TIIDA,2017,98024,498000,HOT
230,TOYOTA,WISH,2015,83835,558000,HOT
231,MAZDA,MAZDA 3,2016,219753,658000,HOT
232,HYUNDAI,STAREX,2015,209787,648000,HOT
233,MAZDA,MAZDA 5,2013,89873,468000,HOT
234,HONDA,CR-V,2017,86186,658000,HOT
235,HONDA,FIT,2020,16197,578000,HOT
236,NISSAN,TIIDA 5門,2017,43330,415000,HOT
237,HONDA,ACCORD,2010,216905,298000,HOT
238,TOYOTA,VIOS,2018,65028,388000,HOT
239,TOYOTA,RAV4,2016,110613,750000,HOT
240,HYUNDAI,ELANTRA,2018,32739,588000,HOT
241,MITSUBISHI,ZINGER,2011,110153,228000,HOT
242,TOYOTA,YARIS,2020,15541,498000,HOT
243,NISSAN,SENTRA,2021,4073,728000,HOT
244,TOYOTA,YARIS,2016,56232,428000,HOT
245,NISSAN,LIVINA,2020,11998,498000,HOT
246,SUBARU,LEVORG,2016,128781,910000,HOT
247,HYUNDAI,ELANTRA,2017,51365,488000,HOT
248,TOYOTA,RAV4,2013,206728,428000,HOT
249,LEXUS,IS200t,2016,30932,1080000,HOT
250,TOYOTA,WISH,2016,114509,505000,HOT
251,SUBARU,FORESTER,2017,52641,868000,HOT
252,TOYOTA,ALTIS,2013,113940,328000,HOT
253,NISSAN,TIIDA 5門,2013,91487,338000,HOT
254,MAZDA,MAZDA 3,2015,64967,578000,HOT
255,LUXGEN,U6 TURBO,2017,46251,628000,HOT
256,LUXGEN,U5,2017,40350,468000,HOT
257,TOYOTA,YARIS,2014,82327,328000,HOT
258,TOYOTA,RAV4,2018,66348,790000,HOT
259,HONDA,FIT,2009,103724,290000,HOT
260,MITSUBISHI,ZINGER,2013,68476,318000,HOT
261,HONDA,CR-V,2009,97251,298000,HOT
262,HONDA,CR-V,2017,93214,628000,HOT
263,TOYOTA,RAV4,2016,48068,708000,HOT
264,NISSAN,X-TRAIL,2015,82723,568000,HOT
265,TOYOTA,YARIS,2017,62050,448000,HOT
266,NISSAN,JUKE,2017,27199,758000,HOT
267,FORD,FOCUS 四門,2013,132129,350000,HOT
268,TOYOTA,ALTIS,2019,32858,719000,HOT
269,MITSUBISHI,VERYCA,2017,76263,358000,HOT
270,HYUNDAI,I30,2013,90631,278000,HOT
271,TOYOTA,CAMRY,2018,70662,698000,HOT
272,TOYOTA,RAV4,2015,79386,628000,HOT
273,MAZDA,CX-5,2016,100831,690000,HOT
274,TOYOTA,ALTIS,2014,84852,488000,HOT
275,TOYOTA,ALTIS,2013,183244,388000,HOT
276,MITSUBISHI,OUTLANDER,2009,258247,188000,HOT
277,TOYOTA,RAV4,2017,41378,799000,HOT
278,LUXGEN,U6 TURBO,2014,127453,348000,HOT
279,HONDA,FIT,2015,61415,498000,HOT
280,TOYOTA,CAMRY,2017,84404,585000,HOT
281,TOYOTA,VIOS,2009,106233,198000,HOT
282,TOYOTA,ALTIS,2017,50374,498000,HOT
283,TOYOTA,CAMRY,2017,36301,598000,HOT
284,HYUNDAI,KONA,2019,39968,758000,HOT
285,TOYOTA,RAV4,2010,103253,388000,HOT
286,TOYOTA,CAMRY,2016,60565,588000,HOT
287,TOYOTA,ALTIS,2013,133133,418000,HOT
288,HONDA,CR-V,2013,226021,438000,HOT
289,MAZDA,CX-3,2017,46089,660000,HOT
290,HONDA,CITY,2018,45842,508000,HOT
291,TOYOTA,YARIS,2014,161362,338000,HOT
292,NISSAN,KICKS,2019,38625,699000,HOT
293,NISSAN,X-TRAIL,2016,90490,598000,HOT
294,TOYOTA,C-HR,2019,21309,818000,HOT
295,FORD,FIESTA,2018,58170,488000,HOT
296,TOYOTA,ALTIS,2018,83404,468000,HOT
297,LEXUS,IS200t,2017,18424,1290000,HOT
298,HYUNDAI,ELANTRA,2012,107431,418000,HOT
299,TOYOTA,RAV4,2018,50704,728000,HOT
300,NISSAN,TIIDA 5門,2017,52018,550000,HOT
301,HONDA,HR-V,2017,34953,668000,HOT
302,MITSUBISHI,ZINGER,2017,26382,398000,HOT
303,MITSUBISHI,ZINGER,2013,131778,228000,HOT
304,TOYOTA,ALTIS,2011,85953,339000,HOT
305,MITSUBISHI,FORTIS,2010,185925,228000,HOT
306,FORD,FOCUS 五門,2019,63817,708000,HOT
307,HONDA,HR-V,2017,102098,638000,HOT
308,TOYOTA,ALTIS,2017,83056,468000,HOT
309,TOYOTA,WISH,2015,77923,528000,HOT
310,TOYOTA,PREVIA,2018,78598,1190000,HOT
311,TOYOTA,CAMRY,2014,106305,520000,HOT
312,TOYOTA,ALTIS,2018,48113,528000,HOT
313,TOYOTA,ALTIS,2016,53219,538000,HOT
314,TOYOTA,ALTIS,2017,37405,518000,HOT
315,HYUNDAI,IX35,2014,84425,458000,HOT
316,MAZDA,MAZDA 5,2014,106925,488000,HOT
317,TOYOTA,WISH,2011,130796,398000,HOT
318,MAZDA,MAZDA 5,2013,76246,418000,HOT
319,MAZDA,MAZDA 3,2010,89617,328000,HOT
320,TOYOTA,YARIS,2011,94476,288000,HOT
321,TOYOTA,ALTIS,2020,13556,729000,HOT
322,TOYOTA,YARIS,2018,101291,438000,HOT
323,SUZUKI,SX4,2016,92207,560000,HOT
324,HONDA,CR-V,2010,152637,388000,HOT
325,TOYOTA,YARIS,2010,190246,278000,HOT
326,NISSAN,SENTRA,2020,2309,700000,HOT
327,HONDA,CR-V,2017,143679,558000,HOT
328,TOYOTA,ALTIS,2010,143722,275000,HOT
329,FORD,FOCUS 五門,2018,49519,628000,HOT
330,HONDA,HR-V,2018,31609,668000,HOT
331,TOYOTA,ALTIS,2020,15811,668000,HOT
332,MAZDA,MAZDA 5,2012,153528,390000,HOT
333,TOYOTA,ALTIS,2017,62419,550000,HOT
334,HYUNDAI,ELANTRA,2014,158239,398000,HOT
335,MITSUBISHI,OUTLANDER,2009,203170,328000,HOT
336,TOYOTA,RAV4,2017,41309,778000,HOT
337,MITSUBISHI,COLT PLUS,2015,158151,298000,HOT
338,TOYOTA,WISH,2015,94344,538000,HOT
339,MAZDA,MAZDA 3,2014,138549,358000,HOT
340,TOYOTA,VIOS,2017,25280,410000,HOT
341,NISSAN,JUKE,2015,63569,458000,HOT
342,HONDA,CIVIC,2010,121441,298000,HOT
343,NISSAN,X-TRAIL,2018,27108,668000,HOT
344,TOYOTA,ALTIS,2016,117645,478000,HOT
345,NISSAN,LIVINA,2015,144606,328000,HOT
346,TOYOTA,RAV4,2016,79656,758000,HOT
347,HONDA,CR-V,2014,126417,558000,HOT
348,HONDA,ODYSSEY,2018,48830,1418000,HOT
349,TOYOTA,RAV4,2016,96022,718000,HOT
350,TOYOTA,CAMRY,2017,39530,599000,HOT
351,NISSAN,SERENA Q-RV,2012,132518,368000,HOT
352,TOYOTA,PREVIA,2013,116457,958000,HOT
353,TOYOTA,RAV4,2012,120698,498000,HOT
354,HONDA,CIVIC,2015,147764,470000,HOT
355,HYUNDAI,TUCSON,2016,48937,538000,HOT
356,HYUNDAI,PORTER,2020,13,688000,HOT
357,TOYOTA,ALTIS,2015,112328,435000,HOT
358,FORD,ESCAPE,2008,162150,228000,HOT
359,TOYOTA,YARIS,2017,67051,458000,HOT
360,MITSUBISHI,ZINGER,2016,34440,430000,HOT
361,MAZDA,MAZDA 3,2011,119151,298000,HOT
362,TOYOTA,PREVIA,2010,176711,610000,HOT
363,TOYOTA,YARIS,2016,43260,450000,HOT
364,TOYOTA,VIOS,2018,45718,408000,HOT
365,TOYOTA,ALTIS,2012,129939,350000,HOT
366,MAZDA,MAZDA 3,2010,157535,270000,HOT
367,HONDA,CR-V,2010,120518,410000,HOT
368,NISSAN,LIVINA,2012,112371,298000,HOT
369,NISSAN,LIVINA,2018,60234,418000,HOT
370,MITSUBISHI,ZINGER,2011,180360,200000,HOT
371,NISSAN,SENTRA,2014,155987,328000,HOT
372,NISSAN,LIVINA,2017,54278,438000,HOT
373,HYUNDAI,ELANTRA,2014,77342,450000,HOT
374,NISSAN,TIIDA 5門,2015,120263,398000,HOT
375,LUXGEN,M7 TURBO,2016,77759,450000,HOT
376,MAZDA,MAZDA 5,2010,186279,298000,HOT
377,NISSAN,LIVINA,2010,163801,228000,HOT
378,TOYOTA,ALTIS,2017,88534,538000,HOT
379,MAZDA,MAZDA 3,2013,124984,358000,HOT
380,MITSUBISHI,ZINGER,2018,80749,358000,HOT
381,TOYOTA,ALTIS,2011,87799,338000,HOT
382,TOYOTA,RAV4,2017,68893,758000,HOT
383,TOYOTA,VIOS,2017,78731,398000,HOT
384,TOYOTA,CAMRY,2016,107449,558000,HOT
385,TOYOTA,AURIS,2018,73633,728000,HOT
386,TOYOTA,ALTIS,2017,44564,558000,HOT
387,TOYOTA,WISH,2009,211682,328000,HOT
388,TOYOTA,YARIS,2013,238419,268000,HOT
389,TOYOTA,ALTIS,2011,223739,248000,HOT
390,MAZDA,MAZDA 5,2010,60472,298000,HOT
391,NISSAN,TIIDA,2020,27972,579000,HOT
392,MAZDA,MAZDA3 5門,2014,116753,388000,HOT
393,HONDA,FIT,2017,54119,498000,HOT
394,TOYOTA,WISH,2013,79331,428000,HOT
395,HONDA,FIT,2010,148399,288000,HOT
396,NISSAN,SENTRA,2015,74371,398000,HOT
397,FORD,FIESTA,2014,109754,358000,HOT
398,MITSUBISHI,ZINGER,2009,133287,188000,HOT
399,LUXGEN,M7 TURBO,2018,22293,648000,HOT
400,TOYOTA,ALTIS,2018,36416,488000,HOT
401,FORD,FOCUS,2018,45153,590000,HOT
402,MAZDA,CX-5,2017,102384,688000,HOT
403,NISSAN,JUKE,2019,23782,778000,HOT
404,MITSUBISHI,ZINGER,2017,63232,328000,HOT
405,MITSUBISHI,COLT PLUS,2017,36737,378000,HOT
406,FORD,FOCUS,2015,114330,298000,HOT
407,FORD,FIESTA,2013,111724,198000,HOT
408,TOYOTA,YARIS,2016,114226,389000,HOT
409,MAZDA,CX-3,2018,50985,678000,HOT
410,MITSUBISHI,ZINGER,2017,79832,378000,HOT
411,TOYOTA,RAV4,2016,129663,698000,HOT
412,MITSUBISHI,SAVRIN,2010,78167,248000,HOT
413,HONDA,FIT,2013,103090,338000,HOT
414,MAZDA,MAZDA 5,2011,157624,298000,HOT
415,TOYOTA,RAV4,2017,42657,668000,HOT
416,TOYOTA,YARIS,2017,91620,398000,HOT
417,MITSUBISHI,LANCER IO,2016,122500,398000,HOT
418,TOYOTA,YARIS,2018,38726,458000,HOT
419,FORD,FOCUS,2015,95026,348000,HOT
420,TOYOTA,INNOVA,2010,145708,298000,HOT
421,NISSAN,TIIDA,2012,34570,328000,HOT
422,FORD,FOCUS,2015,67605,488000,HOT
423,MAZDA,MAZDA 2,2017,132322,438000,HOT
424,TOYOTA,CAMRY,2016,102250,519000,HOT
425,TOYOTA,WISH,2014,115725,498000,HOT
426,HYUNDAI,IX35,2011,67082,308000,HOT
427,TOYOTA,CAMRY HYBRID,2016,66629,589000,HOT
428,TOYOTA,YARIS,2017,98568,419000,HOT
429,TOYOTA,WISH,2015,111045,519000,HOT
430,MITSUBISHI,VERYCA,2017,56402,298000,HOT
431,NISSAN,LIVINA,2019,31264,469000,HOT
432,TOYOTA,ALTIS,2009,191570,258000,HOT
433,TOYOTA,SIENTA,2017,43555,538000,HOT
434,TOYOTA,ALTIS,2017,77187,458000,HOT
435,TOYOTA,YARIS,2017,49989,458000,HOT
436,NISSAN,LIVINA,2012,212093,268000,HOT
437,LUXGEN,S5 TURBO,2017,51243,398000,HOT
438,NISSAN,X-TRAIL,2017,48942,618000,HOT
439,TOYOTA,YARIS,2017,99790,419000,HOT
440,LUXGEN,U6 TURBO,2015,132869,418000,HOT
441,TOYOTA,ALTIS,2017,79949,539000,HOT
442,TOYOTA,ALTIS,2017,90375,439000,HOT
443,TOYOTA,SIENNA,2016,84677,1079000,HOT
444,TOYOTA,YARIS,2019,32340,508000,HOT
445,FORD,FOCUS 五門,2020,28252,838000,HOT
446,NISSAN,MARCH,2013,27371,258000,HOT
447,FORD,KUGA,2015,70485,539000,HOT
448,MAZDA,MAZDA 5,2012,127588,388000,HOT
449,HONDA,CITY,2015,71846,398000,HOT
450,TOYOTA,WISH,2015,123630,489000,HOT
451,TOYOTA,WISH,2015,115410,509000,HOT
452,TOYOTA,ALTIS,2009,166497,258000,HOT
453,NISSAN,LIVINA,2018,32122,428000,HOT
454,TOYOTA,RAV4,2011,82905,398000,HOT
455,FORD,KUGA,2015,181763,458000,HOT
456,NISSAN,LIVINA,2011,103518,208000,HOT
457,MITSUBISHI,ZINGER,2016,79697,389000,HOT
458,NISSAN,TIIDA,2017,96093,418000,HOT
459,TOYOTA,SIENTA,2018,44889,499000,HOT
460,NISSAN,TIIDA 5門,2017,45022,528000,HOT
461,TOYOTA,ALTIS,2011,175609,298000,HOT
462,TOYOTA,RAV4,2010,201930,338000,HOT
463,MITSUBISHI,FORTIS,2011,119000,245000,HOT
464,MAZDA,MAZDA3 5門,2010,160382,338000,HOT
465,FORD,FOCUS 五門,2014,91146,398000,HOT
466,TOYOTA,ALTIS,2011,124864,298000,HOT
467,TOYOTA,ALTIS,2018,54271,488000,HOT
468,MITSUBISHI,LANCER FORTIS,2014,80594,298000,HOT
469,TOYOTA,CAMRY,2017,42133,579000,HOT
470,FORD,FIESTA,2013,66191,288000,HOT
471,MITSUBISHI,DELICA,2018,33910,428000,HOT
472,NISSAN,TIIDA 5門,2012,97794,288000,HOT
473,SUZUKI,SX4,2015,152685,428000,HOT
474,FORD,FOCUS 五門,2019,25861,568000,HOT
475,TOYOTA,WISH,2010,117037,398000,HOT
476,MITSUBISHI,COLT PLUS,2015,114589,328000,HOT
477,TOYOTA,VIOS,2010,140264,238000,HOT
478,TOYOTA,ALTIS,2011,158913,298000,HOT
479,SUZUKI,VITARA,2018,122473,568000,HOT
480,TOYOTA,PREVIA,2017,77340,1188000,HOT
481,TOYOTA,INNOVA,2015,34322,418000,HOT
482,HONDA,FIT,2012,113560,339000,HOT
483,TOYOTA,CAMRY,2017,68693,559000,HOT
484,NISSAN,TIIDA 5門,2009,222576,258000,HOT
485,NISSAN,TIIDA 5門,2014,107526,398000,HOT
486,TOYOTA,YARIS,2017,25062,468000,HOT
487,HYUNDAI,ELANTRA,2015,98824,388000,HOT
488,NISSAN,LIVINA,2017,81474,378000,HOT
489,MITSUBISHI,COLT PLUS,2015,20554,358000,HOT
490,MITSUBISHI,FORTIS,2013,73678,298000,HOT
491,HONDA,CR-V,2013,133480,558000,HOT
492,MITSUBISHI,VERYCA,2017,59696,358000,HOT
493,TOYOTA,YARIS,2016,110129,398000,HOT
494,HONDA,CR-V,2009,214292,338000,HOT
495,TOYOTA,PREVIA,2012,141865,758000,HOT
496,TOYOTA,VIOS,2009,116224,198000,HOT
497,HONDA,ODYSSEY,2016,59194,1180000,HOT
498,HONDA,CR-V,2019,37865,958000,HOT
499,TOYOTA,ALTIS,2012,154790,358000,HOT
500,NISSAN,MARCH,2014,64567,325000,HOT
501,TOYOTA,SIENTA,2018,32085,488000,HOT
502,HYUNDAI,ELANTRA,2019,69780,488000,HOT
503,MITSUBISHI,CANTER,2018,58629,989000,HOT
504,HYUNDAI,IX35,2011,121404,358000,HOT
505,HONDA,CIVIC,2016,73240,468000,HOT
506,TOYOTA,VIOS,2009,140713,158000,HOT
